timestamp,open,high,low,close,volume
2026-03-09 03:00:00+08:00,81.54,82.61,81.43,82.42,339333.96
2026-03-09 04:00:00+08:00,82.42,82.91,82.04,82.26,238260.99
2026-03-09 05:00:00+08:00,82.27,82.37,81.6,82.2,202978.96
2026-03-09 06:00:00+08:00,82.19,82.47,80.16,81.93,1133812.08
2026-03-09 07:00:00+08:00,81.92,82.38,81.43,81.54,328986.15
2026-03-09 08:00:00+08:00,81.55,83.25,81.49,82.3,599753.77
2026-03-09 09:00:00+08:00,82.29,82.86,81.81,82.05,387434.21
2026-03-09 10:00:00+08:00,82.04,82.9,81.59,82.61,334329.56
2026-03-09 11:00:00+08:00,82.61,84.48,82.56,83.1,888916.22
2026-03-09 12:00:00+08:00,83.1,83.84,83.03,83.14,285333.15
2026-03-09 13:00:00+08:00,83.14,84.58,83.08,84.23,536254.14
2026-03-09 14:00:00+08:00,84.23,84.25,83.03,83.08,356674.0
2026-03-09 15:00:00+08:00,83.07,83.22,82.25,83.11,436876.31
2026-03-09 16:00:00+08:00,83.12,83.81,82.87,83.67,374847.97
2026-03-09 17:00:00+08:00,83.67,84.56,83.26,83.97,501308.95
2026-03-09 18:00:00+08:00,83.97,84.19,83.44,83.69,262707.81
2026-03-09 19:00:00+08:00,83.68,83.87,83.03,83.51,262540.0
2026-03-09 20:00:00+08:00,83.52,84.17,83.34,83.96,380284.03
2026-03-09 21:00:00+08:00,83.96,85.7,83.93,85.1,1139087.97
2026-03-09 22:00:00+08:00,85.1,85.69,84.52,85.26,844143.01
2026-03-09 23:00:00+08:00,85.26,85.42,84.59,85.0,417124.91
2026-03-10 00:00:00+08:00,85.0,85.62,84.66,85.09,421572.64
2026-03-10 01:00:00+08:00,85.09,85.37,84.26,85.04,468622.63
2026-03-10 02:00:00+08:00,85.04,85.53,84.41,85.15,489500.62
2026-03-10 03:00:00+08:00,85.15,87.03,85.01,85.92,905709.89
2026-03-10 04:00:00+08:00,85.93,86.14,85.23,85.75,303085.4
2026-03-10 05:00:00+08:00,85.74,86.31,85.62,85.96,226299.34
2026-03-10 06:00:00+08:00,85.96,86.26,85.52,85.69,304416.63
2026-03-10 07:00:00+08:00,85.68,85.94,84.78,84.9,337591.63
2026-03-10 08:00:00+08:00,84.91,85.93,84.78,85.52,326918.03
2026-03-10 09:00:00+08:00,85.52,85.93,85.06,85.69,216694.91
2026-03-10 10:00:00+08:00,85.68,86.88,85.41,86.58,680249.23
2026-03-10 11:00:00+08:00,86.58,86.72,85.46,85.52,423026.84
2026-03-10 12:00:00+08:00,85.52,86.61,85.34,86.49,395663.33
2026-03-10 13:00:00+08:00,86.49,86.92,86.29,86.36,325454.13
2026-03-10 14:00:00+08:00,86.37,86.66,85.93,86.3,280062.75
2026-03-10 15:00:00+08:00,86.3,86.86,86.13,86.65,388133.42
2026-03-10 16:00:00+08:00,86.66,87.39,86.53,86.67,650224.47
2026-03-10 17:00:00+08:00,86.67,87.44,86.61,87.19,428912.89
2026-03-10 18:00:00+08:00,87.18,87.65,86.76,87.06,353364.81
2026-03-10 19:00:00+08:00,87.06,87.16,86.57,86.75,269956.87
2026-03-10 20:00:00+08:00,86.76,86.82,86.23,86.64,265356.09
2026-03-10 21:00:00+08:00,86.64,87.26,85.69,86.02,746655.26
2026-03-10 22:00:00+08:00,86.03,88.2,84.85,88.06,1358269.82
2026-03-10 23:00:00+08:00,88.06,88.58,87.23,88.32,873825.02
2026-03-11 00:00:00+08:00,88.31,88.69,87.62,88.36,657813.47
2026-03-11 01:00:00+08:00,88.36,88.78,87.59,87.9,462300.11
2026-03-11 02:00:00+08:00,87.9,87.97,86.02,86.18,853094.76
2026-03-11 03:00:00+08:00,86.18,86.42,85.58,85.97,412781.61
2026-03-11 04:00:00+08:00,85.97,86.35,85.88,86.17,296235.06
2026-03-11 05:00:00+08:00,86.18,86.38,85.2,85.66,327239.73
2026-03-11 06:00:00+08:00,85.66,85.8,84.94,85.47,468536.28
2026-03-11 07:00:00+08:00,85.48,85.84,85.29,85.81,260398.36
2026-03-11 08:00:00+08:00,85.81,86.18,85.55,85.97,308465.36
2026-03-11 09:00:00+08:00,85.97,86.22,85.59,86.04,157490.59
2026-03-11 10:00:00+08:00,86.05,86.15,85.43,85.87,224659.37
2026-03-11 11:00:00+08:00,85.86,86.12,85.47,85.56,205078.21
2026-03-11 12:00:00+08:00,85.57,86.81,85.42,86.68,419558.96
2026-03-11 13:00:00+08:00,86.67,86.84,85.54,85.68,400921.44
2026-03-11 14:00:00+08:00,85.67,86.11,85.6,85.99,212344.9
2026-03-11 15:00:00+08:00,85.98,86.09,85.08,85.39,285095.06
2026-03-11 16:00:00+08:00,85.39,85.55,85.03,85.44,325102.87
2026-03-11 17:00:00+08:00,85.43,85.54,84.65,84.82,393396.56
2026-03-11 18:00:00+08:00,84.82,85.49,84.79,85.22,249591.36
2026-03-11 19:00:00+08:00,85.21,85.27,84.3,84.49,596369.6
2026-03-11 20:00:00+08:00,84.49,85.69,84.28,85.14,610565.47
2026-03-11 21:00:00+08:00,85.14,87.35,85.05,85.91,1264904.76
2026-03-11 22:00:00+08:00,85.9,87.11,85.67,86.48,769852.17
2026-03-11 23:00:00+08:00,86.49,86.6,84.5,85.36,780323.04
2026-03-12 00:00:00+08:00,85.36,86.56,85.24,86.4,518205.19
2026-03-12 01:00:00+08:00,86.4,87.83,86.39,87.23,1056829.64
2026-03-12 02:00:00+08:00,87.22,88.08,87.12,87.76,713630.55
2026-03-12 03:00:00+08:00,87.77,87.83,86.98,87.25,313918.2
2026-03-12 04:00:00+08:00,87.26,87.4,86.98,87.25,157568.26
2026-03-12 05:00:00+08:00,87.24,87.57,87.1,87.5,147533.2
2026-03-12 06:00:00+08:00,87.51,87.9,86.78,86.99,302066.36
2026-03-12 07:00:00+08:00,86.99,87.16,86.4,86.53,272790.21
2026-03-12 08:00:00+08:00,86.53,86.72,86.32,86.61,136071.56
2026-03-12 09:00:00+08:00,86.61,86.65,85.85,85.98,298770.25
2026-03-12 10:00:00+08:00,85.98,86.1,85.1,85.14,457794.54
2026-03-12 11:00:00+08:00,85.14,85.36,84.62,84.94,431125.93
2026-03-12 12:00:00+08:00,84.94,85.35,84.82,85.03,382380.51
2026-03-12 13:00:00+08:00,85.03,85.26,84.81,85.07,219369.88
2026-03-12 14:00:00+08:00,85.08,85.36,84.9,85.33,217656.66
