timestamp,open,high,low,close,volume
2026-03-09 16:15:00+08:00,83.21,83.77,82.99,83.68,147678.78
2026-03-09 16:30:00+08:00,83.68,83.81,83.27,83.49,98511.52
2026-03-09 16:45:00+08:00,83.49,83.75,83.44,83.67,39030.03
2026-03-09 17:00:00+08:00,83.67,83.71,83.26,83.71,64124.51
2026-03-09 17:15:00+08:00,83.71,84.07,83.63,83.98,94505.05
2026-03-09 17:30:00+08:00,83.98,84.56,83.79,84.38,227992.13
2026-03-09 17:45:00+08:00,84.38,84.5,83.79,83.97,114687.26
2026-03-09 18:00:00+08:00,83.97,84.19,83.83,83.89,65866.89
2026-03-09 18:15:00+08:00,83.9,83.97,83.67,83.77,70728.49
2026-03-09 18:30:00+08:00,83.78,83.95,83.52,83.6,75771.82
2026-03-09 18:45:00+08:00,83.6,83.74,83.44,83.69,50340.61
2026-03-09 19:00:00+08:00,83.68,83.87,83.62,83.72,30986.75
2026-03-09 19:15:00+08:00,83.71,83.73,83.03,83.18,120581.05
2026-03-09 19:30:00+08:00,83.19,83.64,83.13,83.58,57529.43
2026-03-09 19:45:00+08:00,83.58,83.74,83.43,83.51,53442.77
2026-03-09 20:00:00+08:00,83.52,83.74,83.52,83.69,33535.9
2026-03-09 20:15:00+08:00,83.69,83.94,83.34,83.89,149804.26
2026-03-09 20:30:00+08:00,83.9,84.17,83.68,83.86,140329.51
2026-03-09 20:45:00+08:00,83.86,84.07,83.78,83.96,56614.36
2026-03-09 21:00:00+08:00,83.96,84.5,83.93,84.38,124738.56
2026-03-09 21:15:00+08:00,84.37,84.96,84.07,84.95,257639.27
2026-03-09 21:30:00+08:00,84.94,85.58,84.62,85.47,428130.28
2026-03-09 21:45:00+08:00,85.46,85.7,84.93,85.1,328579.86
2026-03-09 22:00:00+08:00,85.1,85.51,84.52,84.76,259507.89
2026-03-09 22:15:00+08:00,84.76,85.5,84.72,85.01,205387.69
2026-03-09 22:30:00+08:00,85.0,85.69,84.87,85.57,246360.46
2026-03-09 22:45:00+08:00,85.58,85.62,85.14,85.26,132886.97
2026-03-09 23:00:00+08:00,85.26,85.42,84.88,85.26,116393.39
2026-03-09 23:15:00+08:00,85.27,85.4,84.99,85.14,78229.32
2026-03-09 23:30:00+08:00,85.14,85.28,84.59,84.78,139052.8
2026-03-09 23:45:00+08:00,84.78,85.3,84.72,85.0,83449.4
2026-03-10 00:00:00+08:00,85.0,85.24,84.82,84.87,91992.1
2026-03-10 00:15:00+08:00,84.88,85.25,84.66,85.06,119802.36
2026-03-10 00:30:00+08:00,85.07,85.36,84.74,85.21,132237.69
2026-03-10 00:45:00+08:00,85.21,85.62,84.95,85.09,77540.49
2026-03-10 01:00:00+08:00,85.09,85.27,84.92,85.12,37851.92
2026-03-10 01:15:00+08:00,85.12,85.25,84.69,84.8,106018.73
2026-03-10 01:30:00+08:00,84.8,84.99,84.26,84.44,130808.49
2026-03-10 01:45:00+08:00,84.44,85.37,84.43,85.04,193943.49
2026-03-10 02:00:00+08:00,85.04,85.05,84.41,84.7,120608.61
2026-03-10 02:15:00+08:00,84.71,85.39,84.68,85.33,156130.83
2026-03-10 02:30:00+08:00,85.33,85.53,85.2,85.3,138522.94
2026-03-10 02:45:00+08:00,85.3,85.39,85.03,85.15,74238.24
2026-03-10 03:00:00+08:00,85.15,85.31,85.03,85.04,62099.23
